c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000195,2025-06-30,110059,2,05,2025-07-21,1002020923,浦发转债,,7374762.450000,9.310000,-1
000195,2025-06-30,110059,1,05,2025-07-21,1002020923,浦发转债,65410.000000,7374762.450000,9.310000,-1
000195,2025-06-30,110059,1,02,2025-08-29,1002020923,浦发转债,65410.000000,7374762.450000,9.310000,-1
000195,2025-06-30,019723,1,02,2025-08-29,1003601977,23国债20,65000.000000,6624600.550000,8.360000,-1
000195,2025-06-30,019723,1,05,2025-07-21,1003601977,23国债20,65000.000000,6624600.550000,8.360000,-1
000195,2025-06-30,113062,1,05,2025-07-21,1003235788,常银转债,17000.000000,2185917.750000,2.760000,-1
000195,2025-06-30,113062,2,05,2025-07-21,1003235788,常银转债,,2185917.750000,2.760000,-1
000195,2025-06-30,113062,1,02,2025-08-29,1003235788,常银转债,17000.000000,2185917.750000,2.760000,-1
000195,2025-06-30,113062,2,02,2025-08-29,1003235788,常银转债,,2185917.750000,2.760000,-1
000195,2025-06-30,123107,2,05,2025-07-21,1002591125,温氏转债,,1846281.920000,2.330000,-1
000195,2025-06-30,123107,1,05,2025-07-21,1002591125,温氏转债,15003.000000,1846281.920000,2.330000,-1
000195,2025-06-30,123107,1,02,2025-08-29,1002591125,温氏转债,15003.000000,1846281.920000,2.330000,-1
000195,2025-06-30,123107,2,02,2025-08-29,1002591125,温氏转债,,1846281.920000,2.330000,-1
000195,2025-06-30,113037,2,05,2025-07-21,1002311890,紫银转债,,1594888.190000,2.010000,-1
000195,2025-06-30,113037,1,05,2025-07-21,1002311890,紫银转债,13980.000000,1594888.190000,2.010000,-1
000195,2025-06-30,113037,1,02,2025-08-29,1002311890,紫银转债,13980.000000,1594888.190000,2.010000,-1
000195,2025-06-30,113037,2,02,2025-08-29,1002311890,紫银转债,,1594888.190000,2.010000,-1
000196,2025-12-31,019773,1,06,2026-01-22,1004200828,25国债08,50000.000000,5050482.190000,6.430000,0
000196,2025-12-31,123107,1,06,2026-01-22,1002591125,温氏转债,6663.000000,864436.080000,1.100000,0
000196,2025-12-31,123107,2,06,2026-01-22,1002591125,温氏转债,,864436.080000,1.100000,0
000196,2025-09-30,019773,1,03,2025-10-28,1004200828,25国债08,50000.000000,5031716.440000,6.030000,0
000196,2025-09-30,123107,1,03,2025-10-28,1002591125,温氏转债,10003.000000,1311631.450000,1.570000,0
000196,2025-09-30,123107,2,03,2025-10-28,1002591125,温氏转债,,1311631.450000,1.570000,0
000196,2025-06-30,110059,1,02,2025-08-29,1002020923,浦发转债,65410.000000,7374762.450000,9.310000,0
000196,2025-06-30,110059,2,02,2025-08-29,1002020923,浦发转债,,7374762.450000,9.310000,0
000196,2025-06-30,110059,1,05,2025-07-21,1002020923,浦发转债,65410.000000,7374762.450000,9.310000,0
000196,2025-06-30,110059,2,05,2025-07-21,1002020923,浦发转债,,7374762.450000,9.310000,0
000196,2025-06-30,019723,1,02,2025-08-29,1003601977,23国债20,65000.000000,6624600.550000,8.360000,0
000196,2025-06-30,019723,1,05,2025-07-21,1003601977,23国债20,65000.000000,6624600.550000,8.360000,0
000196,2025-06-30,113062,2,02,2025-08-29,1003235788,常银转债,,2185917.750000,2.760000,0
000196,2025-06-30,113062,1,02,2025-08-29,1003235788,常银转债,17000.000000,2185917.750000,2.760000,0
000196,2025-06-30,113062,1,05,2025-07-21,1003235788,常银转债,17000.000000,2185917.750000,2.760000,0
000196,2025-06-30,113062,2,05,2025-07-21,1003235788,常银转债,,2185917.750000,2.760000,0
000196,2025-06-30,123107,1,02,2025-08-29,1002591125,温氏转债,15003.000000,1846281.920000,2.330000,0
000196,2025-06-30,123107,2,02,2025-08-29,1002591125,温氏转债,,1846281.920000,2.330000,0
000196,2025-06-30,123107,1,05,2025-07-21,1002591125,温氏转债,15003.000000,1846281.920000,2.330000,0
000196,2025-06-30,123107,2,05,2025-07-21,1002591125,温氏转债,,1846281.920000,2.330000,0
000196,2025-06-30,113037,1,02,2025-08-29,1002311890,紫银转债,13980.000000,1594888.190000,2.010000,0
000196,2025-06-30,113037,2,02,2025-08-29,1002311890,紫银转债,,1594888.190000,2.010000,0
